A	'a	 a 
ababol	a β a β 'o l	 a β a β 'ɔ l 
abandonis	a β a n d 'ɔ n i s	 a β a n d 'o n i s 
abdomen	a b d 'o m e n	 a b d 'ɔ m e n 
abduir	a b d w 'i ɾ	 a b d u 'i ɾ 
abellerol	a β e ʎ e ɾ 'o l	 a β e ʎ e ɾ 'ɔ l 
Abraham	a β ɾ a 'a m	 a β ɾ a 'ɛ m 
absents	a p s 'e n s	 a p s 'e n t s 
absolt	a p s 'ɔ l t	 a p s 'o l t 
absolts	a p s 'ɔ l s	 a p s 'o l t s 
acariciem	a k a ɾ i s i 'ɛ m	 a k a ɾ i s i 'e m 
aconseguida	a k o n s e ɣ 'i ð a	 a k o n s e ɣ u 'i ð a 
aconseguides	a k o n s e ɣ 'i ð e s	 a k o n s e ɣ u 'i ð e s 
acorda	a k 'o ɾ ð a	 a k 'ɔ ɾ ð a 
adduir	a d d w 'i ɾ	 a d d u 'i ɾ 
Adelaida	a ð e l 'a j ð a	 a ð e l a 'i ð a 
adius	a ð 'i w s	 a ð i 'u s 
admesa	a d m 'e z a	 a d m 'ɛ z a 
admeses	a d m 'e z e s	 a d m 'ɛ z e s 
admesos	a d m 'e z o s	 a d m 'ɛ z o s 
admetre	a d m 'e t ɾ e	 a d m 'ɛ t ɾ e 
adolescents	a ð o l e s 'e n s	 a ð o l e s 'e n t s 
adorem	a ð o ɾ 'ɛ m	 a ð o ɾ 'e m 
adúltera	a ð 'u l t e ɾ a	 a ð u l t 'e ɾ a 
adults	a ð 'u l s	 a ð 'u l t s 
advers	a d v 'ɛ ɾ s	 a d v 'e ɾ s 
aeroport	a e ɾ o p 'ɔ ɾ t	 a e ɾ o p 'o ɾ t 
aerosol	a e ɾ o z 'o l	 a e ɾ o z 'ɔ l 
afaitada	a f a j t 'a ð a	 a f a i t 'a ð a 
afaitades	a f a j t 'a ð e s	 a f a i t 'a ð e s 
afaitar	a f a j t 'a ɾ	 a f a i t 'a ɾ 
afaitat	a f a j t 'a t	 a f a i t 'a t 
afaitats	a f a j t 'a t s	 a f a i t 'a t s 
afectem	a f e k t 'ɛ m	 a f e k t 'e m 
Afganistan	a v ɣ a n i s t 'a n	 a f ɣ a n i s t 'a n 
afilem	a f i l 'ɛ m	 a f i l 'e m 
aflores	a f l 'ɔ ɾ e s	 a f l 'o ɾ e s 
afronta	a f ɾ 'o n t a	 a f ɾ 'ɔ n t a 
agenda	a d ʒ 'e n d a	 a d ʒ 'ɛ n d a 
agents	a d ʒ 'e n s	 a d ʒ 'e n t s 
agudesa	a ɣ u ð 'e z a	 a ɣ u ð 'ɛ z a 
ai	'a j	 'a i 
Àiax	'a j a k s	 a j 'a k s 
aidada	a j ð 'a ð a	 a i ð 'a ð a 
aidades	a j ð 'a ð e s	 a i ð 'a ð e s 
aidant	a j ð 'a n t	 a i ð 'a n t 
aidar	a j ð 'a ɾ	 a i ð 'a ɾ 
aidat	a j ð 'a t	 a i ð 'a t 
aidats	a j ð 'a t s	 a i ð 'a t s 
al	'a l	 a l 
albanesos	a l β a n 'e z o s	 a l β a n 'ɛ z o s 
alcohol	a l k o 'ɔ l	 a l k o 'a l 
alegre	a l 'e ɣ ɾ e	 a l 'ɛ ɣ ɾ e 
algebraic	a l d ʒ e β ɾ 'a j k	 a l d ʒ e β ɾ 'a i k 
àlgids	'a l d ʒ i t s	 'a l d ʒ i ð s 
algueresa	a l ɣ e ɾ 'e z a	 a l ɣ e ɾ 'ɛ z a 
algutzir	a l ɣ u d z 'i ɾ	 a l ɣ u t z 'i ɾ 
àliga	'a l i ɣ a	 ' a l i ɣ a 
àligues	'a l i ɣ e s	 ' a l i ɣ e s 
almenys	a l m 'e ɲ s	 a l m 'ɛ ɲ s 
almívar	a l m 'i v a ɾ	 a l m i v 'a ɾ 
Altai	a l t 'a j	 a l t 'a i 
altaic	a l t 'a j k	 a l t 'a i k 
altesa	a l t 'e z a	 a l t 'ɛ z a 
altruisme	a l t ɾ w 'i z m e	 a l t ɾ u 'i z m e 
altruista	a l t ɾ w 'i s t a	 a l t ɾ u 'i s t a 
alts	'a l s	 'a l t s 
Àlvar	'a l v a ɾ	 a l v 'a ɾ 
amagueu	a m a ɣ 'e w	 a m a ɣ 'ɛ w 
amainada	a m a j n 'a ð a	 a m a i n 'a ð a 
amainades	a m a j n 'a ð e s	 a m a i n 'a ð e s 
amainant	a m a j n 'a n t	 a m a i n 'a n t 
amainar	a m a j n 'a ɾ	 a m a i n 'a ɾ 
amainat	a m a j n 'a t	 a m a i n 'a t 
amainats	a m a j n 'a t s	 a m a i n 'a t s 
ametlla	a m 'e l l a	 a m 'ɛ l ʎ a 
ametller	a m e l l 'e ɾ	 a m e ʎ l 'e ɾ 
amiants	a m i 'a n s	 a m i 'a n t s 
