A	'ə	 ə 
abadessa	ə β ə ð 'ɛ s ə	 ə β ə ð 'e s ə 
abandonis	ə β ə n d 'ɔ n i s	 ə β ə n d 'o n i s 
abdomen	ə b d 'o m ə n	 ə b d 'ɔ m ə n 
abell	ə β 'ɛ ʎ	 ə β 'e ʎ 
abella	ə β 'ɛ ʎ ə	 ə β 'e ʎ ə 
Abella	ə β 'ɛ ʎ ə	 ə β 'e ʎ ə 
abelles	ə β 'ɛ ʎ ə s	 ə β 'e ʎ ə s 
ablació	ə β l ə s i 'o	 ə b b l ə s i 'o 
abrilenc	ə β ɾ i l 'ɛ ŋ	 ə β ɾ i l 'ɛ n s 
abscés	ə p s 'e s	 ə p s k 'e s 
absolt	ə p s 'ɔ l t	 ə p s 'o l t 
abundantment	ə β u n d ə m m 'e n	 ə β u n d ə n ə m 'e n 
àcar	'a k ə	 'a k ə r 
acer	ə s 'e r	 ə k 'e 
acoblada	ə k u b b l 'a ð ə	 ə k u β l 'a ð ə 
acoblades	ə k u b b l 'a ð ə s	 ə k u β l 'a ð ə s 
acord	ə k 'ɔ r t	 ə k 'o r t 
Açores	ə s 'ɔ ɾ ə s	 ə s 'o ɾ ə s 
acórrer	ə k 'o r ə	 ə k u r 'e 
actriu	ə k t ɾ 'i w	 ə k t ɾ 'i u 
adequada	ə ð ə k w 'a ð ə	 ə ð ə k 'a ð ə 
adequades	ə ð ə k w 'a ð ə s	 ə ð ə k 'a ð ə s 
adequat	ə ð ə k w 'a t	 ə ð ə k 'a t 
adequats	ə ð ə k w 'a t s	 ə ð ə k 'a t s 
adesiara	ə ð ə z i 'a ɾ ə	 a ð ə z i 'a ɾ ə 
adhesiu	ə ð ə z 'i w	 ə ð i ə z 'i w 
adob	ə ð 'o p	 ə ð 'o 
adúlter	ə ð 'u l t ə r	 ə ð u l t 'e 
advers	ə d b 'ɛ r s	 ə d b 'e s 
aerobi	ə e ɾ 'ɔ β i	 ə ə ɾ 'ɔ β i 
aeròbic	ə e ɾ 'ɔ β i k	 ə ə ɾ 'ɔ β i k 
aeròmetre	ə e ɾ 'ɔ m ə t ɾ ə	 ə ə ɾ 'ɔ m ə t ɾ ə 
afaitada	ə f ə j t 'a ð ə	 ə f ə i t 'a ð ə 
afaitades	ə f ə j t 'a ð ə s	 ə f ə i t 'a ð ə s 
afaitar	ə f ə j t 'a	 ə f ə i t 'a 
afaitat	ə f ə j t 'a t	 ə f ə i t 'a t 
afaitats	ə f ə j t 'a t s	 ə f ə i t 'a t s 
afecta	ə f 'e k t ə	 ə f 'ɛ k t ə 
afecte	ə f 'e k t ə	 ə f 'ɛ k t ə 
afectes	ə f 'e k t ə s	 ə f 'ɛ k t ə s 
afer	ə f 'e r	 ə f 'e 
Afganistan	ə v ɣ ə n i s t 'a n	 ə f ɣ ə n i s t 'a n 
aflora	ə f l 'ɔ ɾ ə	 ə f l 'o ɾ ə 
aflores	ə f l 'ɔ ɾ ə s	 ə f l 'o ɾ ə s 
afores	ə f 'ɔ ɾ ə s	 ə f 'o ɾ ə s 
afronta	ə f ɾ 'o n t ə	 ə f ɾ 'ɔ n t ə 
agenda	ə ʒ 'e n d ə	 ə ʒ 'ɛ n d ə 
aguaitada	ə ɣ w ə j t 'a ð ə	 ə ɣ w ə i t 'a ð ə 
aguaitades	ə ɣ w ə j t 'a ð ə s	 ə ɣ w ə i t 'a ð ə s 
aguaitant	ə ɣ w ə j t 'a n	 ə ɣ w ə i t 'a n 
aguaitar	ə ɣ w ə j t 'a	 ə ɣ w ə i t 'a 
aguaitat	ə ɣ w ə j t 'a t	 ə ɣ w ə i t 'a t 
aguaitats	ə ɣ w ə j t 'a t s	 ə ɣ w ə i t 'a t s 
Àgueda	'a ɣ ə ð ə	 'a ɣ u ə ð ə 
àguila	'a ɣ i l ə	 'a ɣ u i l ə 
aguilenc	ə ɣ i l 'ɛ ŋ	 ə ɣ i l 'ɛ n s 
àguiles	'a ɣ i l ə s	 'a ɣ u i l ə s 
ai	'a j	 'a i 
aidada	ə j ð 'a ð ə	 ə i ð 'a ð ə 
aidades	ə j ð 'a ð ə s	 ə i ð 'a ð ə s 
aidant	ə j ð 'a n	 ə i ð 'a n 
aidar	ə j ð 'a	 ə i ð 'a 
aidat	ə j ð 'a t	 ə i ð 'a t 
aidats	ə j ð 'a t s	 ə i ð 'a t s 
aiguabarreig	ə j ɣ w ə β ə r 'ɛ t ʃ	 ə j ɣ w ə β ə r 'ɛ ʃ 
aiguafort	ə j ɣ w ə f 'ɔ r t	 ə j ɣ w ə f 'o r t 
aigualir	ə j ɣ w ə l 'i	 ə j ɣ u ə l 'i 
aiguaneu	ə j ɣ w ə n 'e w	 ə j ɣ w ə n 'ɛ w 
aigüera	ə j ɣ w 'e ɾ ə	 a j ə w 'e ɾ ə 
aigüerola	ə j ɣ w ə ɾ 'ɔ l ə	 a j ɣ w ə ɾ 'ɔ l ə 
aigüeroles	ə j ɣ w ə ɾ 'ɔ l ə s	 a j ɣ w ə ɾ 'ɔ l ə s 
al	'ə l	 ə l 
albenc	ə l β 'ɛ ŋ	 ə l β 'ɛ n s 
alcaldessa	ə l k ə l d 'ɛ s ə	 ə l k ə l d 'e s ə 
alçament	ə l s ə m 'e n	 a l s ə m 'e n 
Alcàsser	ə l k 'a s ə r	 ə l k 'a s ə 
alcàsser	ə l k 'a s ə r	 ə l k 'a s ə 
alcohol	ə l k u 'ɔ l	 ə l k u 'a l 
aleatori	ə l e ə t 'ɔ ɾ i	 ə l ə ə t 'ɔ ɾ i 
alegre	ə l 'e ɣ ɾ ə	 ə l 'ɛ ɣ ɾ ə 
aleshores	ə l ə z 'ɔ ɾ ə s	 ə l ə s 'o ə s 
aleteig	ə l ə t 'ɛ t ʃ	 ə l ə t 'ɛ ʃ 
alfabregueta	ə l f ə β ɾ ə ɣ 'ɛ t ə	 ə l f ə β ɾ ə ɣ u 'ɛ t ə 
algebraic	ə l ʒ ə β ɾ 'a j k	 ə l ʒ ə β ɾ 'a i k 
àlgid	'a l ʒ i t	 'a l ʒ i ð 
àlgids	'a l ʒ i t s	 'a l ʒ i ð s 
alhora	ə l 'ɔ ɾ ə	 ə l i 'o ɾ ə 
àliga	'a l i ɣ ə	 ' a l i ɣ ə 
àligues	'a l i ɣ ə s	 ' a l i ɣ ə s 
alimenti	ə l i m 'e n t i	 ə l i m 'ɛ n t i 
alineament	ə l i n e ə m 'e n	 ə l i n ə ə m 'e n 
aljub	ə l ʒ 'u p	 ə l ʒ 'u 
allenc	ə ʎ 'ɛ ŋ	 ə ʎ 'ɛ n s 
almirallessa	ə l m i ɾ ə ʎ 'ɛ s ə	 ə l m i ɾ ə ʎ 'e s ə 
alosa	ə l 'ɔ z ə	 ə l 'o z ə 
alt	'a l	 'a l t 
Altai	ə l t 'a j	 ə l t 'a i 
altaic	ə l t 'a j k	 ə l t 'a i k 
altra	'a l t ɾ ə	 ' a l t ɾ ə 
altre	'a l t ɾ ə	 ' a l t ɾ ə 
altres	'a l t ɾ ə s	 ' a l t ɾ ə s 
altri	'a l t ɾ i	 ' a l t ɾ i 
alzinenc	ə l z i n 'ɛ ŋ	 ə l z i n 'ɛ n s 
amainada	ə m ə j n 'a ð ə	 ə m ə i n 'a ð ə 
amainades	ə m ə j n 'a ð ə s	 ə m ə i n 'a ð ə s 
amainant	ə m ə j n 'a n	 ə m ə i n 'a n 
amainar	ə m ə j n 'a	 ə m ə i n 'a 
amainat	ə m ə j n 'a t	 ə m ə i n 'a t 
amainats	ə m ə j n 'a t s	 ə m ə i n 'a t s 
amarg	ə m 'a r k	 ə m 'a r 
ambdós	ə m d 'o s	 ə m b d 'o s 
ambdues	ə m d 'u ə s	 ə m b d 'u ə s 
ambigüitat	ə m b i ɣ w i t 'a t	 ə m b i ɣ i t 'a t 
ambigüitats	ə m b i ɣ w i t 'a t s	 ə m b i ɣ i t 'a t s 
amblada	ə m b l 'a ð ə	 ə m ə l 'a ð ə 
amblades	ə m b l 'a ð ə s	 ə m ə l 'a ð ə s 
amens	ə m 'ɛ n s	 ə m 'e n s 
amor	ə m 'o r	 ə m 'o 
ampolla	ə m p 'o ʎ ə	 ə m p 'ɔ ʎ ə 
anacard	ə n ə k 'a r	 ə n ə k 'a r t 
anàrquica	ə n 'a r k i k ə	 ə n ə r k 'i k ə 
anàrquics	ə n 'a r k i k s	 ə n ə r k 'i k s 
Andreu	ə n d ɾ 'e w	 ə n d ɾ 'ɛ w 
àngels	'a n ʒ ə l s	 a n ʒ 'ɛ l s 
Àngels	'a n ʒ ə l s	 a n ʒ 'ɛ l s 
anihilar	ə n i i l 'a	 ə n i ə l 'a 
anterior	ə n t ə ɾ i 'o r	 ə n t ə ɾ i 'o 
antimoni	ə n t i m 'ɔ n i	 ə n t i m 'o n i 
antitancs	ə n t i t 'a ŋ s	 ə n t i t 'a ŋ k s 
Antoni	ə n t 'ɔ n i	 ə n t 'o n i 
Anvers	ə m b 'ɛ r s	 ə m b 'e s 
anvers	ə m b 'ɛ r s	 ə m b 'e s 
aparell	ə p ə ɾ 'ɛ ʎ	 ə p ə ɾ 'e ʎ 
