A	'ə	 ə 
abandona	ə β ə n d 'o n ə	 ə β ə n d 'ɔ n ə 
abandonament	ə β ə n d u n ə m 'e n	 ə β ə n d 'ɔ n ə m 'ɛ n 
abandoni	ə β ə n d 'o n i	 ə β ə n d 'ɔ n i 
abandono	ə β ə n d 'o n u	 ə β ə n d 'ɔ n u 
abastament	ə β ə s t ə m 'e n	 ə β 'a s t ə m 'ɛ n 
abdomen	ə b d 'o m ə n	 ə b d 'ɔ m ə n 
ablació	ə β l ə s i 'o	 ə b b l ə s i 'o 
abonament	ə β u n ə m 'e n	 ə β 'ɔ n ə m 'ɛ n 
aboni	ə β 'o n i	 ə β 'ɔ n i 
abreviatura	ə β ɾ ə β i ə t 'u ɾ ə	 ə β ɾ ə β 'i ə t 'u ɾ ə 
abrilenc	ə β ɾ i l 'ɛ ŋ	 ə β ɾ i l 'ɛ n s 
abscés	ə p s 'e s	 ə p s k 'e s 
absent	ə p s 'e n	 ə p s 'ɛ n 
absenta	ə p s 'e n t ə	 ə p s 'ɛ n t ə 
absents	ə p s 'e n s	 ə p s 'ɛ n s 
absolt	ə p s 'ɔ l t	 ə p s 'o l t 
abundantment	ə β u n d ə m m 'e n	 ə β u n d 'a n i m 'ɛ n 
abundosa	ə β u n d 'o z ə	 ə β u n d 'ɔ z ə 
acabament	ə k ə β ə m 'e n	 ə k 'a β ə m 'ɛ n 
àcar	'a k ə	 'a k ə r 
accent	ə k s 'e n	 ə k s 'ɛ n 
accident	ə k s i ð 'e n	 ə k s i ð 'ɛ n 
acer	ə s 'e r	 ə s 'ɛ 
aclaparadora	ə k l ə p ə ɾ ə ð 'o ɾ ə	 ə k l ə p ə ɾ ə ð 'ɔ ɾ ə 
aclaparadores	ə k l ə p ə ɾ ə ð 'o ɾ ə s	 ə k l ə p ə ɾ ə ð 'ɔ ɾ ə s 
aclariment	ə k l ə ɾ i m 'e n	 ə k l 'a ɾ i m 'ɛ n 
acoblada	ə k u b b l 'a ð ə	 ə k u β l 'a ð ə 
acoblades	ə k u b b l 'a ð ə s	 ə k u β l 'a ð ə s 
acolliment	ə k u ʎ i m 'e n	 ə k 'ɔ ʎ i m 'ɛ n 
acomiadament	ə k u m i ə ð ə m 'e n	 ə k u m i 'a ð ə m 'ɛ n 
acompanyament	ə k u m p ə ɲ ə m 'e n	 ə k u m p 'a ɲ ə m 'ɛ n 
acord	ə k 'ɔ r t	 ə k 'o r t 
acórrer	ə k 'o r ə	 ə k 'o r 'e 
acostament	ə k u s t ə m 'e n	 ə k 'ɔ s t ə m 'ɛ n 
actriu	ə k t ɾ 'i w	 ə k t ɾ 'i u 
adequada	ə ð ə k w 'a ð ə	 ə ð ə k 'a ð ə 
adequades	ə ð ə k w 'a ð ə s	 ə ð ə k 'a ð ə s 
adequat	ə ð ə k w 'a t	 ə ð ə k 'a t 
adequats	ə ð ə k w 'a t s	 ə ð ə k 'a t s 
adesiara	ə ð ə z i 'a ɾ ə	 'a ð ə z i 'a ɾ ə 
adhesiu	ə ð ə z 'i w	 ə ð 'i ə z 'i w 
adient	ə ð i 'e n	 ə ð i 'ɛ n 
